Id_muestreo,Id_muestreo_no_dc,Fecha,Pc_start,Species_ayerbe,Count
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Plegadis falcinellus,2
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Columbina talpacoti,6
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Onychorhynchus coronatus,2
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Myiarchus crinitus,6
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Icterus nigrogularis,4
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Campylorhynchus nuchalis,2
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Megarynchus pitangua,2
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Volatinia jacarina,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Campylorhynchus griseus,4
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Caracara cheriway,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Dendroplex picus,4
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Milvago chimachima,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Plegadis falcinellus,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Crotophaga ani,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Volatinia jacarina,8
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Columbina squammata,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Thraupis glaucocolpa,2
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Columbina talpacoti,4
C-MB-BL-EP_04,MB-BL-EP_04,2016-11-30,06:57:00,Crotophaga sulcirostris,8
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Tyrannus melancholicus,7
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Turdus ignobilis,6
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Myiarchus cephalotes,1
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Pionus chalcopterus,1
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Zimmerius chrysops,3
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Dryocopus lineatus,2
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Chlorostilbon melanorhynchus,4
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Amazilia tzacatl,1
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Stelgidopteryx ruficollis,2
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Troglodytes aedon,9
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Volatinia jacarina,4
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Thamnophilus multistriatus,2
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Myiozetetes cayanensis,2
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Patagioenas speciosa,2
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Sicalis flaveola,1
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Crotophaga ani,7
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Pionus menstruus,13
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Bubulcus ibis,1
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Melanerpes formicivorus,3
C-MB-CD-LMO_01,MB-CD-LMO_01,2016-09-27,06:04:00,Leiothlypis peregrina,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Zimmerius chrysops,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Volatinia jacarina,5
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Tyrannus melancholicus,11
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Troglodytes aedon,6
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Leptopogon superciliaris,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Myiozetetes cayanensis,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Coragyps atratus,5
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Tyrannus tyrannus,5
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Zonotrichia capensis,3
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Thraupis episcopus,3
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Columbina talpacoti,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Patagioenas speciosa,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Piranga rubra,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Turdus ignobilis,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Leiothlypis peregrina,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Myiarchus cephalotes,1
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Zenaida auriculata,7
C-MB-CD-LMO_02,MB-CD-LMO_02,2016-09-27,06:50:00,Myiarchus tuberculifer,2
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Thraupis episcopus,1
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Zonotrichia capensis,2
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Bubulcus ibis,2
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Troglodytes aedon,1
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Spinus xanthogastrus,1
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Vireo olivaceus,1
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Pionus chalcopterus,4
C-MB-CD-LMO_03,MB-CD-LMO_03,2016-09-27,08:02:00,Milvago chimachima,3
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Spinus psaltria,4
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Zonotrichia capensis,5
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Synallaxis azarae,1
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Milvago chimachima,1
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Bubulcus ibis,10
C-MB-CD-LMO_04,MB-CD-LMO_04,2016-09-27,08:17:00,Tiaris olivaceus,4
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Columbina squammata,13
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Coccyzus americanus,3
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Crotophaga sulcirostris,17
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Icterus nigrogularis,11
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Dendroplex picus,3
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Volatinia jacarina,9
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Molothrus oryzivorus,5
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Pyrocephalus rubinus,16
